user_id,description
1,"인스타에 안 올린 B컷 대방출
버킷햇 첨 써보는데 걍 나 오늘 힙하다~ 이런느낌ㅋㅋ"
4,vivid한 color와 oversize의 boxy한 fit이 favorite하네요
3,후드티로 데일리 코디
3,"바이크 탈 때는 요렇게 입지요- 29CM와 함께하는 세이의 ‘매일’ 룩!
_
29CM의 ‘매일의 가이드’ 캠페인에 참여했어요! 브랜드를 시작하면서 개인 콘텐츠 작업 기회가 많지 않았는데 인터뷰도 하고 좋아하는 브랜드와 아이템들을 소개할 수 있는 기회가 많아져 즐거운 요즘입니당 히히히

세이가 추천하는 브랜드&아이템과 자세한 ‘매일의 가이드’ 인터뷰 콘텐츠는 29CM 앱 +제 인스타 스토리 링크를 통해 보실 수 있어요!
"
5,치마가 포인트인 할미룩이쥬
5,애니멀 패턴 부클 자켓 첫 도전 음머
6,비오는날 너무 싫네요ㅠㅠ
7,"귀엽고 따뜻한 리버시블 양털 자켓코디에오
한가지 아우터로 두가지 느낌을 연출할 수 있답미다!"
8,겨울에 양털은 필수죠
9,자켓 코디~
10,니트에 가죽치마 코디!
1,공원 나들이 하구 왔어요
1,오늘 입은 의상입니다.
1,민트민트 코디 !!!
1,가을 데일리룩
2,하늘색 니트는.. 지금 날씨에 딱 맞는 코디
3,New one
4,블레이저 코디 포기 못훼 
5,계속 오늘같은 날씨였으면 좋겠네요
6,가디건 코디
5,수납공간 넉넉하고 스트링 디테일이 너무 예쁜 백팩
4,좋아하는 느낌
3,후드티에 레오파드 스커트는 사랑
4,아메카지 코디
4,마지막사진 먼 일이람
4,인스타에 안올린 B컷들!
4,티라미수가 생각나는 오늘의 코디
5,크리스마스가 코앞에..겨울에는 롱부츠로 따뜻한 코디를
6,비야 오지마 ×.× 
7,이 아우터 입으면 세상을 다 가진 기분
8,셔츠 포인트
9,귀여운 양털 뽀글이 크로스백 코디하기
8,제 옷 귀엽죠
9,올블랙 패션.
2,"""13번, 13번 ! 13번 없나?!""
""제가 13번인데요""
""13번 일어나서 이거 읽어봐""""모르겠는데요""""뭐야!? 머리에 뭐가 들었길래 단어 하나를 못 읽냐? 엉?! """" 내 여.자. 하나만 들어서 다른건 생각할 겨를이 없습니다"""
3,"""나 좋아하지마.""""그게 뭔데.""""나 좋아하지 말라고.""""그거 어떻게 하는건데."""
1,"ㄴ ㅏ는 가끔 눈물을 흘린ㄷ ㅏ...ㅠㅁ ㅓ리가 ㅇ ㅏ닌 맘으로 우는 ㄴ ㅐ가 좋ㄷ ㅏ..."
10,애정하는 차분한 베이지 톤온톤 코디!
10,완전 편하고 따땃하영
10,겨울 니트 코디
10,"겨울아우터, 후리스, 뽀글이 추천"
10,감 너무 예쁜 트레이닝셋뚜
10,오토바이 타면 완성'!!
10,안에 크롭탑입고 입으면 꾸안꾸 그자체
10,블랙 말고 화사한 아이보리 코디 어때?~
10,미니멀룩에 과하지 않은 포인트 주기 좋은 가방
10,바이크 룩 Ver.2! 겹쳐 입기 좋아하는 사람은 이렇게도 입지요
10,커피 중독자
10,반팔 긴팔 레이어드
9,무채색 데일리룩
1,"ㄴ ㅏ는 가끔 눈물을 흘린ㄷ ㅏ...ㅠㅁ ㅓ리가 ㅇ ㅏ닌 맘으로 우는 ㄴ ㅐ가 좋ㄷ ㅏ..."
1,"인스타에 안 올린 B컷 대방출
버킷햇 첨 써보는데 걍 나 오늘 힙하다~ 이런느낌ㅋㅋ"
2,"""13번, 13번 ! 13번 없나?!""
""제가 13번인데요""
""13번 일어나서 이거 읽어봐""""모르겠는데요""""뭐야!? 머리에 뭐가 들었길래 단어 하나를 못 읽냐? 엉?! """" 내 여.자. 하나만 들어서 다른건 생각할 겨를이 없습니다"""
3,"구매한 의상을 입어봤습니다."
4,vivid한 color와 oversize의 boxy한 fit이 favorite하네요
3,후드티로 데일리 코디
3,"바이크 탈 때는 요렇게 입지요- 29CM와 함께하는 세이의 ‘매일’ 룩!
_
29CM의 ‘매일의 가이드’ 캠페인에 참여했어요! 브랜드를 시작하면서 개인 콘텐츠 작업 기회가 많지 않았는데 인터뷰도 하고 좋아하는 브랜드와 아이템들을 소개할 수 있는 기회가 많아져 즐거운 요즘입니당 히히히

세이가 추천하는 브랜드&아이템과 자세한 ‘매일의 가이드’ 인터뷰 콘텐츠는 29CM 앱 +제 인스타 스토리 링크를 통해 보실 수 있어요!
"
5,치마가 포인트인 할미룩이쥬
5,애니멀 패턴 부클 자켓 첫 도전 음머
6,비오는날 너무 싫네요ㅠㅠ
7,"귀엽고 따뜻한 리버시블 양털 자켓코디에오
한가지 아우터로 두가지 느낌을 연출할 수 있답미다!"
8,겨울에 양털은 필수죠
9,자켓 코디~
10,니트에 가죽치마 코디!
1,공원 나들이 하구 왔어요
1,"""나 좋아하지마.""""그게 뭔데.""""나 좋아하지 말라고.""""그거 어떻게 하는건데."""
1,민트민트 코디 !!!
1,가을 데일리룩
2,하늘색 니트는.. 지금 날씨에 딱 맞는 코디
3,New one
4,블레이저 코디 포기 못훼 
5,계속 오늘같은 날씨였으면 좋겠네요
6,가디건 코디
5,수납공간 넉넉하고 스트링 디테일이 너무 예쁜 백팩
4,좋아하는 느낌
3,후드티에 레오파드 스커트는 사랑
4,아메카지 코디
4,마지막사진 먼 일이람
4,인스타에 안올린 B컷들!
4,티라미수가 생각나는 오늘의 코디
5,크리스마스가 코앞에..겨울에는 롱부츠로 따뜻한 코디를
6,비야 오지마 ×.× 
7,이 아우터 입으면 세상을 다 가진 기분
8,셔츠 포인트
9,귀여운 양털 뽀글이 크로스백 코디하기
8,제 옷 귀엽죠
9,올블랙 패션.
10,애정하는 차분한 베이지 톤온톤 코디!
10,완전 편하고 따땃하영
10,겨울 니트 코디
10,"겨울아우터, 후리스, 뽀글이 추천"
10,감 너무 예쁜 트레이닝셋뚜
10,오토바이 타면 완성'!!
10,안에 크롭탑입고 입으면 꾸안꾸 그자체
10,블랙 말고 화사한 아이보리 코디 어때?~
10,미니멀룩에 과하지 않은 포인트 주기 좋은 가방
10,바이크 룩 Ver.2! 겹쳐 입기 좋아하는 사람은 이렇게도 입지요
10,커피 중독자
10,반팔 긴팔 레이어드
