name,second_category_id
반팔 티셔츠,1
긴팔 티셔츠,1
슬리브리스,1
피케 티셔츠,1
터틀넥 티셔츠,1
후드,2
후드집업,2
맨투맨,2
캐주얼 셔츠,3
체크/패턴셔츠,3
데님 셔츠,3
라운드넥 니트,4
브이넥 니트,4
터틀넥 니트,4
베스트,4
가디건,4
코트,5
점퍼,5
자켓,5
야상,5
롱패딩,5
가죽자켓,5
패딩 베스트,5
숏패딩,5
베스트,5
바람막이/트랙자켓,5
플리스,5
코튼팬츠,6
데님팬츠,6
슬랙스,6
숏/하프팬츠,6
트레이닝,6
티셔츠,7
팬츠,7
트레이닝,7
자켓/점퍼,7
조끼/베스트,7
수영복/래쉬가드,7
스노우 웨어,7
스윔웨어,7
러닝,8
팬티,8
잠옷,8
내의,8
무스너클,9
노비스,9
바버,9
꼼데가르송,9
생로랑,9
톰브라운,9
몽클레어,9
마르셀로블론,9
스톤아일랜드,9
에르노,9
겐조,9
디스퀘어드2,9
CP컴퍼니,9
아미,9
캐나다구스,9
